=== CPU UTILIZATION REPORT ===
CPU utilization: 3.44%
Cores used: 0
Cores available: 4

Running processes:

Finished processes:
proc1  Finished 1933 / 1933
memproc  Finished 6 / 6
auto-process3  Finished 1078 / 1078
auto-process4  Finished 1999 / 1999
auto-process5  Finished 1559 / 1559
auto-process6  Finished 1753 / 1753
auto-process7  Finished 1824 / 1824
auto-process8  Finished 1547 / 1547
auto-process9  Finished 1695 / 1695
auto-process10  Finished 1377 / 1377
auto-process11  Finished 1069 / 1069
auto-process12  Finished 1370 / 1370
auto-process13  Finished 1354 / 1354
auto-process14  Finished 1319 / 1319
auto-process15  Finished 1694 / 1694
auto-process16  Finished 1044 / 1044
auto-process17  Finished 1904 / 1904
auto-process18  Finished 1796 / 1796
auto-process19  Finished 1708 / 1708
auto-process20  Finished 1396 / 1396
auto-process21  Finished 1787 / 1787
auto-process22  Finished 1739 / 1739
auto-process23  Finished 1407 / 1407
auto-process24  Finished 1802 / 1802
auto-process25  Finished 1901 / 1901
auto-process26  Finished 1692 / 1692
auto-process27  Finished 1495 / 1495
auto-process28  Finished 1147 / 1147
auto-process29  Finished 1929 / 1929
auto-process30  Finished 1080 / 1080
auto-process31  Finished 1203 / 1203
auto-process32  Finished 1875 / 1875
auto-process33  Finished 1878 / 1878
auto-process34  Finished 1986 / 1986
auto-process35  Finished 1747 / 1747
auto-process36  Finished 1113 / 1113
auto-process37  Finished 1875 / 1875
auto-process38  Finished 1916 / 1916
auto-process39  Finished 1647 / 1647
auto-process40  Finished 1622 / 1622
auto-process41  Finished 1878 / 1878
auto-process42  Finished 1845 / 1845
auto-process43  Finished 1074 / 1074
auto-process44  Finished 1054 / 1054
auto-process45  Finished 1664 / 1664
auto-process46  Finished 1139 / 1139
auto-process47  Finished 1312 / 1312
auto-process48  Finished 1175 / 1175
auto-process49  Finished 1910 / 1910
auto-process50  Finished 1685 / 1685
auto-process51  Finished 1706 / 1706
auto-process52  Finished 1451 / 1451
auto-process53  Finished 1536 / 1536
auto-process54  Finished 1642 / 1642
auto-process55  Finished 1548 / 1548
auto-process56  Finished 1037 / 1037
auto-process57  Finished 1719 / 1719
auto-process58  Finished 1371 / 1371
auto-process59  Finished 1121 / 1121
auto-process60  Finished 1700 / 1700
auto-process61  Finished 1598 / 1598
auto-process62  Finished 1986 / 1986
auto-process63  Finished 1127 / 1127
auto-process64  Finished 1858 / 1858
auto-process65  Finished 1752 / 1752
auto-process66  Finished 1804 / 1804
auto-process67  Finished 1527 / 1527
auto-process68  Finished 1197 / 1197
auto-process69  Finished 1393 / 1393
auto-process70  Finished 1942 / 1942
auto-process71  Finished 1202 / 1202
auto-process72  Finished 1392 / 1392
auto-process73  Finished 1502 / 1502
auto-process74  Finished 1814 / 1814
auto-process75  Finished 1512 / 1512
auto-process76  Finished 1167 / 1167
auto-process77  Finished 1216 / 1216
auto-process78  Finished 1664 / 1664
auto-process79  Finished 1071 / 1071
